source_file,battery_id,test_id,uid,start_time,ambient_temperature,Capacity,Re,Rct,Voltage_measured_mean,Voltage_measured_std,Voltage_measured_min,Voltage_measured_max,Voltage_measured_first,Voltage_measured_last,Current_measured_mean,Current_measured_std,Current_measured_min,Current_measured_max,Current_measured_first,Current_measured_last,Temperature_measured_mean,Temperature_measured_std,Temperature_measured_min,Temperature_measured_max,Temperature_measured_first,Temperature_measured_last,Current_load_mean,Current_load_std,Current_load_min,Current_load_max,Current_load_first,Current_load_last,Voltage_load_mean,Voltage_load_std,Voltage_load_min,Voltage_load_max,Voltage_load_first,Voltage_load_last,Time_mean,Time_std,Time_min,Time_max,Time_first,Time_last,n_measurements,Voltage_measured_range,Current_measured_range,Temperature_measured_range,Current_load_range,Voltage_load_range,Time_range,duration_seconds,cycle_number,SOH,initial_capacity,SOH_relative,RUL_cycles,health_class
05122.csv,B0005,1,5122,[2.0080e+03 4.0000e+00 2.0000e+00 1.5000e+01 2.5000e+01 4.1593e+01],24,1.8564874208181572,,,3.5298286688693397,0.23655823616646715,2.612467347907089,4.191491807505295,4.191491807505295,3.277169976825196,-1.8187019641679725,0.5950584036965108,-2.0180146876333027,0.0007285852728454,-0.0049015892074626,-0.0065283512516069,32.572328114029,3.4958043644447594,24.325993424022467,38.98218133148803,24.330033885570543,34.230852841540965,-1.805569543147208,0.5912168781647146,-1.9984,-0.0004,-0.0006,-0.0006,2.404944162436548,0.7969738952584343,0.0,4.206,0.0,0.0,1812.0874974619292,1069.2725999975862,0.0,3690.234,0.0,3690.234,197,1.5790244595982057,2.018743272906148,14.656187907465561,1.998,4.206,3690.234,3690.234,1,0.9282437104090786,1.8564874208181572,1.0,167,Healthy
05124.csv,B0005,3,5124,[2.0080e+03 4.0000e+00 2.0000e+00 1.9000e+01 4.3000e+01 4.8406e+01],24,1.846327249719927,,,3.5373201277859705,0.23536612087025005,2.587208728940726,4.189773213846608,4.189773213846608,3.3002448871222545,-1.8175598506612867,0.5967037718608692,-2.016820542901454,0.0029274033590803,2.125117981080765e-05,-0.0004475525791171,32.72523522519307,3.435509488533705,24.685948163596,39.03339796678704,24.697751935729325,34.3921365871887,-1.8045826530612243,0.592561263309089,-1.9984,-0.0006,-0.0006,-0.0006,2.3992602040816324,0.796595820461916,0.0,4.204,0.0,0.0,1803.1433724489798,1064.170525892272,0.0,3672.344,0.0,3672.344,196,1.6025644849058818,2.0197479462605346,14.347449803191044,1.9978,4.204,3672.344,3672.344,2,0.9231636248599635,1.8564874208181572,0.9945272071416715,166,Healthy
05126.csv,B0005,5,5126,[2.008e+03 4.000e+00 3.000e+00 0.000e+00 1.000e+00 6.687e+00],24,1.835349194223408,,,3.5437367282719,0.22811108752216436,2.65191689384378,4.188186735991303,4.188186735991303,3.327451009868628,-1.8164865418840956,0.598033410427442,-2.016573862170142,0.001483676365228,-0.0017540301662326,0.0010260185593644,32.64286193755933,3.3881738346115613,24.7342661639544,38.81879668981741,24.7342661639544,34.23277871576327,-1.8035753846153846,0.5939252344640928,-1.9984,-0.0004,-0.0006,-0.0006,2.3979692307692306,0.7973888889904897,0.0,4.203,0.0,0.0,1793.8093794871795,1058.4123890962405,0.0,3651.641,0.0,3651.641,195,1.5362698421475236,2.0180575385353703,14.084530525863013,1.998,4.203,3651.641,3651.641,3,0.917674597111704,1.8564874208181572,0.9886138595081707,165,Healthy
05128.csv,B0005,7,5128,[2008.       4.       3.       4.      16.      37.375],24,1.8352625275821128,,,3.5436661072601456,0.23334650276899496,2.592947964776547,4.188461118855572,4.188461118855572,3.314181858907029,-1.8255891938692528,0.5849720920767388,-2.0159359571668354,0.0015470119527235,-0.0027750361294468,-0.0022336216958504,32.514876462048825,3.3953058258571183,24.65224374129252,38.7623045063458,24.65423646922845,34.413449952605504,-1.8128628865979382,0.5810631399470253,-1.9984,-0.0006,-0.0006,-0.0006,2.4082886597938145,0.7806767020572484,0.0,4.203,0.0,0.0,1784.3594278350515,1052.810985934021,0.0,3631.563,0.0,3631.563,194,1.5955131540790246,2.017482969119559,14.11006076505328,1.9978,4.203,3631.563,3631.563,4,0.9176312637910564,1.8564874208181572,0.9885671763794174,164,Healthy
05130.csv,B0005,9,5130,[2008.       4.       3.       8.      33.      25.703],24,1.8346455082120416,,,3.5423432526672167,0.23730096225770814,2.547419651124539,4.188298524761055,4.188298524761055,3.30549673128648,-1.8261139590277584,0.5849781734923365,-2.017425579158831,0.0017014548245034,-0.0079808668038886,9.237228410233749e-06,32.38234901543077,3.404666943380705,24.518700434435164,38.66539257343368,24.524796959348127,34.34588498997869,-1.8128762886597938,0.5810674389928049,-1.9984,-0.0006,-0.0006,-0.0006,2.408505154639175,0.7813476881759175,0.0,4.203,0.0,0.0,1783.5013505154639,1052.1070616372629,0.0,3629.172,0.0,3629.172,194,1.6408788736365159,2.0191270339833345,14.146692138998514,1.9978,4.203,3629.172,3629.172,5,0.9173227541060208,1.8564874208181572,0.9882348178817771,163,Healthy
05132.csv,B0005,11,5132,[2008.       4.       3.      12.      55.      10.687],24,1.8356616600675493,,,3.5413347346347575,0.23993226167114737,2.5209480504077413,4.188815807948604,4.188815807948604,3.302329112973759,-1.8168108743168805,0.5982374845560284,-2.0162347618032066,0.0024899497555445,-0.0050555682941469,-0.0039672301115556,32.43418218230641,3.4261217869037117,24.51442664842638,38.75169504640032,24.522297376927863,34.20092692100587,-1.8036564102564103,0.5939449951080079,-1.9984,-0.0006,-0.0006,-0.0006,2.3962512820512822,0.7980125205306027,0.0,4.203,0.0,0.001,1793.4977589743592,1058.504334199527,0.0,3652.281,0.0,3652.281,195,1.6678677575408627,2.018724711558751,14.237268397973942,1.9978,4.203,3652.281,3652.281,6,0.9178308300337746,1.8564874208181572,0.9887821697485943,162,Healthy
05134.csv,B0005,13,5134,[2008.       4.       3.      17.      17.      16.015],24,1.8351461429226603,,,3.5410250495075206,0.2431395702465364,2.487927319492314,4.18839163793879,4.18839163793879,3.2937406695499014,-1.816791144707133,0.5980272932806863,-2.01583310669507,0.0023142958827398,-0.002633435144531,-0.0034248271938185,32.48041644475799,3.4283444842023885,24.575581239008407,38.8207012322275,24.58487828579781,34.298284762513184,-1.803620512820513,0.593929701825962,-1.9984,-0.0006,-0.0006,-0.0006,2.394646153846154,0.7979523039017682,0.0,4.203,0.0,0.0,1792.8422461538462,1058.1172828797548,0.0,3650.828,0.0,3650.828,195,1.700464318446476,2.0181474025778097,14.245119993219092,1.9978,4.203,3650.828,3650.828,7,0.9175730714613302,1.8564874208181572,0.9885044855913477,161,Healthy
05136.csv,B0005,15,5136,[2008.       4.       3.      21.      28.      14.718],24,1.8257567905665535,,,3.554133296801585,0.22790991675130098,2.665204904745877,4.188927891511958,4.188927891511958,3.3162307407741536,-1.8443412120754061,0.5588480400785013,-2.0166395518034546,0.0022276160569156,0.0022276160569156,0.0017102389699127,32.41046186109587,3.3604246400026754,24.71132429046902,38.51713023385634,24.7136287992798,34.76224183630716,-1.8308837696335079,0.5548802682593877,-1.9984,-0.0006,-0.0006,-0.0006,2.434628272251309,0.7453762970802762,0.0,4.203,0.0,0.0,1756.5707643979058,1036.0072406673826,0.0,3572.453,0.0,3572.453,191,1.523722986766081,2.0188671678603702,13.805805943387323,1.9978,4.203,3572.453,3572.453,8,0.9128783952832767,1.8564874208181572,0.9834468955151549,160,Healthy
05138.csv,B0005,17,5138,[2.0080e+03 4.0000e+00 4.0000e+00 1.0000e+00 3.8000e+01 1.5218e+01],24,1.8247738529891333,,,3.5529355991467946,0.23306799549076254,2.603858472633368,4.189029250882121,4.189029250882121,3.297410935416153,-1.853972745505648,0.5439173113548029,-2.018357230695621,0.0054010283210214,-0.0021960382833998,-0.00100405237818,32.34614083129999,3.381314274142607,24.628487294051176,38.526267904657,24.63521163332469,35.05182952791622,-1.8405052631578946,0.5400961907994427,-1.9984,-0.0004,-0.0006,-0.0004,2.4485105263157894,0.7271650230780365,0.0,4.203,0.0,0.0,1745.8955684210525,1029.7136836617021,0.0,3550.594,0.0,3550.594,190,1.5851707782487532,2.0237582590166423,13.897780610605821,1.998,4.203,3550.594,3550.594,9,0.9123869264945667,1.8564874208181572,0.9829174345738105,159,Healthy
05140.csv,B0005,19,5140,[2008.       4.       4.       5.      48.       8.609],24,1.824613268496936,,,3.5512057319376997,0.2373541416710245,2.552853984885676,4.189223427076418,4.189223427076418,3.2884044830952868,-1.8535899338510957,0.5437675433297862,-2.016071837814984,0.0030191479674457,-0.0059760123362068,0.0012614014099626,32.27679750791685,3.3932601951659334,24.561560340089137,38.52698128472781,24.57205766409556,35.02973666184703,-1.8404957894736844,0.5400855800137523,-1.9982,-0.0006,-0.0006,-0.0006,2.4496526315789473,0.7283379393036021,0.0,4.204,0.0,0.0,1746.0239315789474,1029.9186511658486,0.0,3551.25,0.0,3551.25,190,1.636369442190742,2.0190909857824293,13.965420944638673,1.9976,4.204,3551.25,3551.25,10,0.912306634248468,1.8564874208181572,0.9828309354731991,158,Healthy
